Cluster NumberAM{HH1}AM,Household NumberAM{HH2}AM,parishAM{HH1A}AM,constituencyAM{HH1B}AM,enumeration districtAM{HH1C}AM,dwelling numberAM{HH2A}AM,household numberAM{HH2B}AM,Interviewer numberAM{HH3}AM,Supervisor NumberAM{HH4}AM,Day of interviewAM{HH5D}AM,Month of interviewAM{HH5M}AM,Year of interviewAM{HH5Y}AM,AreaAM{HH6}AM,Result of HH interviewAM{HH9}AM,Respondent HH questionnaireAM{HH10}AM,Number of household membersAM{HH11}AM,Total eligible womenAM{HH12}AM,Women interviews completedAM{HH13}AM,Total children under 5AM{HH14}AM,Child interviews completedAM{HH15}AM,Data entry clerkAM{HH16}AM,Serial NumberAM{HHS}AM,Total number of Women 15-49AM{TOHL6}AM,Total number of Children 5-14AM{TOHL7}AM,Total number of children Under 5 yearsAM{TOHL8}AM,Total number of Very SickAM{TOHL8A}AM,Total number of mothers deadAM{TOHL9}AM,Total number of mothers very sickAM{TOHL10A}AM,Total number of father deadAM{TOHL11}AM,Total number of fathers very sickAM{TOHL12A}AM,Main source info.AM{HL13}AM,Distance to Health centreAM{HL14}AM,Main source of drinking waterAM{WS1}AM,Main source of water used for other purposes (if bottled watAM{WS2}AM,Time to get water and come backAM{WS3}AM,Person fetching waterAM{WS4}AM,How Frequently is water availableAM{WS4A}AM,Treat water to make safer for drinkingAM{WS5}AM,BoilAM{WS6A}AM,Add bleach/chlorineAM{WS6B}AM,Strain it through a clothAM{WS6C}AM,Use water filterAM{WS6D}AM,Solar disinfectionAM{WS6E}AM,Let it stand and settleAM{WS6F}AM,OtherAM{WS6X}AM,WS6ZAM{WS6Z}AM,Kind of toilet facilityAM{WS7}AM,Toilet facility sharedAM{WS8}AM,Households using this toilet facilityAM{WS9}AM,Distance to nearest Primary SchoolAM{ED9}AM,Distance to nearest Secondary SchoolAM{ED10}AM,Have any usual member of your household died  in the last 12AM{OV2}AM,Of those who died is there any one between the ages of 18 anAM{OV3}AM,"If yes ,were any seriously ill for 3 of  the 12 months beforAM{OV4}AM",Total children aged 2-14 yearsAM{CD7}AM,Rank number of child (from response box)AM{CD9}AM,Child line numberAM{CD11}AM,Took away privilegesAM{CD12A}AM,Explaned why something was wrongAM{CD12B}AM,Shook him/herAM{CD12C}AM,Shouted yelled at or screamed at him/herAM{CD12D}AM,Gave him/hersomething else to doAM{CD12E}AM,"Spanked, hit or slapped him/her with bare handAM{CD12F}AM",Hit him/her   on the bottom with or elsewhere with a beltAM{CD12G}AM,"Called him/her dumb, lazyAM{CD12H}AM",Hit or slapped him/her on the faceAM{CD12I}AM,Hit or slapped him/her on the handAM{CD12J}AM,Beat him/her up with an implementAM{CD12K}AM,Did name ever require medical attentionAM{CD12L}AM,Do you believe to bring up you nedd to punish him/herAM{CD13}AM,Household weightAM{hhweight}AM,Education of household headAM{helevel}AM,Sex of household headAM{hhsex}AM,TOTAL URBANAM{TOTURB}AM
210010.0,2901.0,2.0,10.0,10.0,29.0,1.0,2943.0,125.0,7.0,11.0,2005.0,KMA,Refused,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210010.0,4101.0,2.0,10.0,10.0,41.0,1.0,2821.0,125.0,13.0,11.0,2005.0,KMA,Completed,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3327.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,Yes,,Add bleach/chlorine,,,,,,,Flush to septic tank,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Female,TOTAL URBAN
210010.0,5401.0,2.0,10.0,10.0,54.0,1.0,2821.0,125.0,7.0,11.0,2005.0,KMA,Completed,2.0,4.0,1.0,1.0,0.0,0.0,3.0,3309.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,MOST TIMES,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,,,,,,,,,,,,,,,,,1.690462,Primary,Male,TOTAL URBAN
210010.0,6801.0,2.0,10.0,10.0,68.0,1.0,2943.0,125.0,13.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into yard or plot,,,,MOST TIMES,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Male,TOTAL URBAN
210010.0,7901.0,2.0,10.0,10.0,79.0,1.0,2943.0,125.0,13.0,11.0,2005.0,KMA,Completed,2.0,5.0,2.0,2.0,0.0,0.0,3.0,6679.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to absorption pit,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,1.0,4.0,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,1.690462,Secondary,Male,TOTAL URBAN
210010.0,9201.0,2.0,10.0,10.0,92.0,1.0,2943.0,125.0,13.0,10.0,2005.0,KMA,Not at home,,,,,,,3.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210010.0,10401.0,2.0,10.0,10.0,104.0,1.0,2943.0,125.0,7.0,11.0,2005.0,KMA,Completed,2.0,3.0,1.0,1.0,0.0,0.0,3.0,3320.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,,Add bleach/chlorine,,,,,,,Flush to unknown place/not sure/DK where,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,3.0,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,1.690462,Secondary,Male,TOTAL URBAN
210014.0,1601.0,2.0,10.0,14.0,16.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Vacant,,,,,,,2.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210014.0,3501.0,2.0,10.0,14.0,35.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Completed,2.0,2.0,0.0,0.0,0.0,0.0,2.0,6141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,,,,Use water filter,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Primary,Female,TOTAL URBAN
210014.0,5401.0,2.0,10.0,14.0,54.0,1.0,3085.0,124.0,6.0,11.0,2005.0,KMA,Completed,1.0,3.0,1.0,1.0,0.0,0.0,2.0,6127.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Female,TOTAL URBAN
210014.0,7301.0,2.0,10.0,14.0,73.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Completed,2.0,4.0,3.0,3.0,0.0,0.0,2.0,6142.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,4.0,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,1.690462,Secondary,Female,TOTAL URBAN
210014.0,9201.0,2.0,10.0,14.0,92.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Vacant,,,,,,,2.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210014.0,11301.0,2.0,10.0,14.0,113.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Completed,2.0,7.0,2.0,2.0,1.0,1.0,2.0,6144.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,4.0,4.0,7.0,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,1.690462,Higher,Female,TOTAL URBAN
210014.0,13101.0,2.0,10.0,14.0,131.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Completed,2.0,4.0,1.0,1.0,0.0,0.0,2.0,6117.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Primary,Male,TOTAL URBAN
210014.0,15001.0,2.0,10.0,14.0,150.0,1.0,3085.0,124.0,6.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,MISSING,MISSING,,,,,,,,,,,,,,,,,,,,1.690462,Primary,Female,TOTAL URBAN
210014.0,16901.0,2.0,10.0,14.0,169.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,MISSING,MISSING,,,,,,,,,,,,,,,,,,,,1.690462,Primary,Male,TOTAL URBAN
210025.0,701.0,2.0,10.0,25.0,7.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Completed,2.0,2.0,0.0,0.0,0.0,0.0,6.0,6122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,Add bleach/chlorine,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Primary,Female,TOTAL URBAN
210025.0,2401.0,2.0,10.0,25.0,24.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Completed,3.0,4.0,0.0,0.0,0.0,0.0,6.0,6119.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,4.0,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,1.690462,Primary,Male,TOTAL URBAN
210025.0,4201.0,2.0,10.0,25.0,42.0,1.0,3085.0,124.0,6.0,11.0,2005.0,KMA,Not at home,,,,,,,6.0,3835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210025.0,5601.0,2.0,10.0,25.0,56.0,1.0,3085.0,124.0,6.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,NOT AT ALL,No,,,,,,,,,Flush to piped sewer system,Yes,2.0,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Male,TOTAL URBAN
210025.0,7401.0,2.0,10.0,25.0,74.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Not at home,,,,,,,6.0,3836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210025.0,8901.0,2.0,10.0,25.0,89.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Completed,1.0,4.0,1.0,1.0,0.0,0.0,6.0,6116.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,2.0,4.0,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,1.690462,Secondary,Female,TOTAL URBAN
210025.0,10601.0,2.0,10.0,25.0,106.0,1.0,3085.0,124.0,6.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,NOT AT ALL,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Primary,Female,TOTAL URBAN
210025.0,12201.0,2.0,10.0,25.0,122.0,1.0,3085.0,124.0,6.0,11.0,2005.0,KMA,Completed,2.0,3.0,1.0,1.0,0.0,0.0,6.0,6150.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,,,,Use water filter,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,3.0,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,1.690462,Secondary,Male,TOTAL URBAN
210025.0,13901.0,2.0,10.0,25.0,139.0,1.0,3085.0,124.0,1.0,11.0,2005.0,KMA,Completed,2.0,6.0,1.0,1.0,3.0,3.0,6.0,6118.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,2.0,5.0,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,1.690462,Secondary,Female,TOTAL URBAN
210035.0,1101.0,2.0,10.0,35.0,11.0,1.0,2943.0,125.0,19.0,11.0,2005.0,KMA,Not at home,,,,,,,6.0,4827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210035.0,2701.0,2.0,10.0,35.0,27.0,1.0,2943.0,125.0,19.0,11.0,2005.0,KMA,Not at home,,,,,,,6.0,4828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210035.0,4001.0,2.0,10.0,35.0,40.0,1.0,2943.0,125.0,19.0,11.0,2005.0,KMA,Completed,2.0,2.0,1.0,1.0,0.0,0.0,6.0,5379.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Male,TOTAL URBAN
210035.0,5301.0,2.0,10.0,35.0,53.0,1.0,2943.0,125.0,19.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,6.0,5376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Bottled water,Piped into dwelling,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Primary,Male,TOTAL URBAN
210035.0,6701.0,2.0,10.0,35.0,67.0,1.0,2821.0,125.0,7.0,11.0,2005.0,KMA,Not at home,,,,,,,6.0,4829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210035.0,8101.0,2.0,10.0,35.0,81.0,1.0,2821.0,125.0,7.0,11.0,2005.0,KMA,Completed,1.0,3.0,1.0,1.0,0.0,0.0,6.0,6251.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,3.0,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,1.690462,Secondary,Male,TOTAL URBAN
210035.0,9501.0,2.0,10.0,35.0,95.0,1.0,2821.0,125.0,7.0,11.0,2005.0,KMA,Completed,1.0,2.0,1.0,1.0,0.0,0.0,6.0,6258.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into dwelling,,,,MOST TIMES,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Higher,Female,TOTAL URBAN
210035.0,11201.0,2.0,10.0,35.0,112.0,1.0,2943.0,125.0,7.0,11.0,2005.0,KMA,Completed,3.0,4.0,2.0,2.0,0.0,0.0,6.0,3321.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Male,TOTAL URBAN
210035.0,12401.0,2.0,10.0,35.0,124.0,1.0,2821.0,125.0,13.0,11.0,2005.0,KMA,Completed,1.0,5.0,2.0,1.0,0.0,0.0,6.0,6680.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,5.0,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,1.690462,Primary,Female,TOTAL URBAN
210038.0,901.0,2.0,10.0,38.0,9.0,1.0,2556.0,124.0,4.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,No,,,,,,,,,Pit latrine with slab,Missing,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Male,TOTAL URBAN
210038.0,3601.0,2.0,10.0,38.0,36.0,1.0,2556.0,124.0,4.0,11.0,2005.0,KMA,Completed,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4240.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,2.0,4.0,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,1.690462,Secondary,Male,TOTAL URBAN
210038.0,6001.0,2.0,10.0,38.0,60.0,1.0,2556.0,124.0,4.0,11.0,2005.0,KMA,Completed,1.0,5.0,2.0,2.0,0.0,0.0,2.0,4241.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,TELEVISION,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,No,,,,,,,,,Flush to absorption pit,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,1.0,4.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,1.690462,Primary,Male,TOTAL URBAN
210038.0,8601.0,2.0,10.0,38.0,86.0,1.0,2557.0,124.0,4.0,11.0,2005.0,KMA,Completed,1.0,3.0,2.0,2.0,0.0,0.0,2.0,6304.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,> 1 TO < 5 MILES,Piped into yard or plot,,,,FEW HOURS DAILY,No,,,,,,,,,Pit latrine with slab,Yes,4.0,> 1 TO < 5 MILES,> 1 TO < 5 MILES,No,,,1.0,1.0,3.0,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,1.690462,Secondary,Female,TOTAL URBAN
210038.0,11201.0,2.0,10.0,38.0,112.0,1.0,2557.0,124.0,4.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,> 1 TO < 5 MILES,Piped into yard or plot,,,,FEW HOURS DAILY,No,,,,,,,,,Pit latrine with slab,No,,> 1 TO < 5 MILES,> 1 TO < 5 MILES,,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Male,TOTAL URBAN
210038.0,13701.0,2.0,10.0,38.0,137.0,1.0,2557.0,124.0,4.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,> 1 TO < 5 MILES,Piped into yard or plot,,,,FEW HOURS WEEKLY,No,,,,,,,,,Pit latrine with slab,No,,> 1 TO < 5 MILES,> 1 TO < 5 MILES,,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Male,TOTAL URBAN
210038.0,16301.0,2.0,10.0,38.0,163.0,1.0,2557.0,124.0,4.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,> 1 TO < 5 MILES,Piped into yard or plot,,,,FEW HOURS WEEKLY,No,,,,,,,,,No facilities or bush or field,,,> 1 TO < 5 MILES,> 1 TO < 5 MILES,,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Male,TOTAL URBAN
210038.0,18901.0,2.0,10.0,38.0,189.0,1.0,2557.0,124.0,4.0,11.0,2005.0,KMA,Vacant,,,,,,,2.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210038.0,21501.0,2.0,10.0,38.0,215.0,1.0,2556.0,124.0,4.0,11.0,2005.0,KMA,Completed,1.0,7.0,1.0,1.0,4.0,4.0,2.0,4237.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,Yes,Boil,,,,,,,,No facilities or bush or field,,,1 MILE OR LESS,1 MILE OR LESS,No,,,5.0,5.0,5.0,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,1.690462,Secondary,Female,TOTAL URBAN
210051.0,701.0,2.0,10.0,51.0,7.0,1.0,2670.0,125.0,15.0,11.0,2005.0,KMA,Not at home,,,,,,,1.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210051.0,1701.0,2.0,10.0,51.0,17.0,1.0,2670.0,125.0,15.0,11.0,2005.0,KMA,Not at home,,,,,,,1.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210051.0,2901.0,2.0,10.0,51.0,29.0,1.0,2670.0,125.0,15.0,11.0,2005.0,KMA,Completed,2.0,2.0,0.0,0.0,0.0,0.0,1.0,6651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to absorption pit,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Male,TOTAL URBAN
210051.0,3901.0,2.0,10.0,51.0,39.0,1.0,2670.0,125.0,27.0,11.0,2005.0,KMA,Completed,2.0,3.0,2.0,2.0,0.0,0.0,1.0,5836.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,> 1 TO < 5 MILES,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Secondary,Female,TOTAL URBAN
210051.0,5001.0,2.0,10.0,51.0,50.0,1.0,2670.0,125.0,15.0,11.0,2005.0,KMA,Not at home,,,,,,,1.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210051.0,6201.0,2.0,10.0,51.0,62.0,1.0,2670.0,125.0,15.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Primary,Female,TOTAL URBAN
210051.0,7301.0,2.0,10.0,51.0,73.0,1.0,2670.0,125.0,27.0,11.0,2005.0,KMA,Completed,2.0,3.0,1.0,1.0,0.0,0.0,1.0,6661.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,3.0,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,1.690462,Secondary,Male,TOTAL URBAN
210051.0,8401.0,2.0,10.0,51.0,84.0,1.0,2670.0,125.0,15.0,11.0,2005.0,KMA,Refused,,,,,,,1.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
210051.0,9501.0,2.0,10.0,51.0,95.0,1.0,2670.0,125.0,15.0,11.0,2005.0,KMA,Completed,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Primary,Male,TOTAL URBAN
210055.0,1401.0,2.0,10.0,55.0,14.0,1.0,2556.0,124.0,17.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to absorption pit,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,1.690462,Primary,Female,TOTAL URBAN
